,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
0,huarmey,-10.07,-78.15,70.51,1535215662,PE,4.05,61,0
1,busselton,-33.64,115.35,52.96,1535215663,AU,6.17,100,64
2,ushuaia,-54.81,-68.31,44.6,1535212800,AR,6.93,48,40
3,sabancuy,18.97,-91.18,84.37,1535215663,MX,2.71,100,0
4,codrington,-28.95,153.24,48.37,1535215664,AU,1.92,91,92
5,yabrud,33.97,36.66,95.0,1535212800,SY,14.99,14,0
6,roma,41.89,12.48,80.6,1535214000,IT,10.29,65,40
7,hilo,19.71,-155.08,71.96,1535212380,US,4.7,97,75
8,albany,42.65,-73.75,78.98,1535212440,US,9.17,62,75
9,mareeba,-16.99,145.42,64.4,1535214600,AU,1.12,93,20
10,koshurnikovo,54.3,93.39,51.88,1535215665,RU,2.15,82,20
11,nikolskoye,59.7,30.79,68.0,1535212800,RU,6.71,77,75
12,hirara,24.8,125.28,82.03,1535215666,JP,16.24,100,68
13,puerto del rosario,28.5,-13.86,87.8,1535214600,ES,16.11,54,0
14,puerto ayora,-0.74,-90.35,77.0,1535212800,EC,16.11,65,75
15,chuy,-33.69,-53.46,53.05,1535215667,UY,28.32,78,0
16,port hardy,50.7,-127.42,57.2,1535213280,CA,2.24,93,90
17,maxixe,-23.86,35.35,71.41,1535215668,MZ,9.75,93,0
18,mataura,-46.19,168.86,37.39,1535215668,NZ,9.08,92,0
19,saint-philippe,45.36,-73.48,82.4,1535214900,CA,8.63,48,1
20,qaqortoq,60.72,-46.03,48.2,1535212200,GL,13.87,66,75
21,hobart,-42.88,147.33,44.6,1535212800,AU,10.29,81,0
22,bayan,47.25,107.54,52.42,1535215670,MN,3.6,99,88
23,yellowknife,62.45,-114.38,51.8,1535212800,CA,4.7,81,90
24,wonthaggi,-38.6,145.59,35.95,1535215670,AU,2.59,89,0
25,geraldton,49.72,-86.95,62.6,1535212800,CA,5.82,93,90
26,rikitea,-23.12,-134.97,72.22,1535215671,PF,14.0,100,0
27,bluff,-23.58,149.07,59.89,1535215671,AU,7.18,95,68
28,severo-kurilsk,50.68,156.12,47.83,1535215671,RU,5.17,100,64
29,vaini,15.34,74.49,67.63,1535215672,IN,5.73,98,92
30,katobu,-4.94,122.53,77.8,1535215672,ID,5.61,98,0
31,almeirim,39.21,-8.63,82.4,1535214600,PT,17.22,44,0
32,kundiawa,-6.02,144.97,56.74,1535215672,PG,1.92,100,92
33,omboue,-1.57,9.26,74.65,1535215673,GA,9.19,100,0
34,georgetown,6.8,-58.16,87.8,1535212800,GY,11.41,66,75
35,punta arenas,-53.16,-70.91,44.6,1535212800,CL,12.75,91,75
36,castro,-42.48,-73.76,51.52,1535215675,CL,5.5,99,92
37,kuchaman,27.15,74.86,80.5,1535215675,IN,8.97,73,8
38,zhigansk,66.77,123.37,49.45,1535215676,RU,6.62,62,0
39,batagay-alyta,67.8,130.41,30.73,1535215676,RU,2.71,86,0
40,anadyr,64.73,177.51,46.4,1535212800,RU,6.71,100,75
41,torbay,47.66,-52.73,75.2,1535212800,CA,13.87,57,90
42,catuday,16.29,119.81,74.92,1535215676,PH,11.21,100,92
43,atar,20.52,-13.05,108.76,1535215677,MR,8.52,11,0
44,carnarvon,-30.97,22.13,49.63,1535215677,ZA,15.79,39,0
45,dumbravita,45.77,25.43,64.3,1535215677,RO,2.04,71,12
46,salinas,36.67,-121.66,59.0,1535214900,US,3.94,82,90
47,borgarnes,64.54,-21.92,53.6,1535212800,IS,8.05,40,20
48,khani,41.96,42.96,77.0,1535214600,GE,6.93,83,40
49,cacu,-18.56,-51.13,84.64,1535215679,BR,5.17,51,44
50,kapaa,22.08,-159.32,77.0,1535212380,US,17.22,93,90
51,kangaatsiaq,68.31,-53.46,43.69,1535215679,GL,13.11,93,88
52,qaanaaq,77.48,-69.36,37.84,1535215680,GL,4.16,92,0
53,atuona,-9.8,-139.03,79.24,1535215680,PF,21.05,100,56
54,port alfred,-33.59,26.89,62.95,1535215680,ZA,5.73,98,0
55,hashtrud,37.48,47.05,63.31,1535215681,IR,4.5,58,0
56,jiamusi,46.81,130.37,60.16,1535215681,CN,8.52,99,92
57,ust-karsk,52.71,118.82,59.44,1535215682,RU,2.15,89,44
58,santa fe,-31.62,-60.7,59.53,1535215490,AR,5.73,56,0
59,leningradskiy,69.38,178.42,36.67,1535215683,RU,11.21,100,92
60,ancud,-41.87,-73.83,51.97,1535215683,CL,5.61,100,92
61,lagoa,37.14,-8.45,82.4,1535214600,PT,4.7,61,0
62,riyadh,24.63,46.72,104.0,1535212800,SA,11.41,14,0
63,nemuro,43.32,145.57,59.44,1535215684,JP,15.46,100,100
64,shizunai,42.33,142.37,65.02,1535215599,JP,10.42,98,100
65,richards bay,-28.77,32.06,73.66,1535215685,ZA,12.77,66,0
66,ketchikan,55.34,-131.65,57.92,1535212380,US,12.75,83,75
67,kruisfontein,-34.0,24.73,55.3,1535215685,ZA,1.59,100,0
68,iqaluit,63.75,-68.52,42.8,1535214360,CA,3.36,87,75
69,fairbanks,64.84,-147.72,48.2,1535214180,US,5.61,93,90
70,plant city,28.02,-82.12,91.4,1535215140,US,4.7,55,40
71,husavik,50.56,-96.99,67.18,1535215686,CA,13.22,90,0
72,varna,43.22,27.9,77.0,1535214600,BG,8.05,69,0
